keyword,category_name,country,trends_mean,trends_slope,yt_total_views,yt_engagement,ali_avg_sale_price,cluster,success_proba,rf_prob,xgb_prob_high,forecast_mean,trend_quality,consistency_score,social_velocity,POS,tier
organizador refrigerador,Home & Garden,MX,4.186813,0.236853,1724.0,0.016241,49.732,Muerto,0.013354,0.015,0.004388,25.503583,0.052709,0.0,2.8,0.174683,LOW
contenedores alimentos hermeticos,Home & Garden,MX,2.076923,-0.067813,3369.0,0.005046,24.917,Muerto,0.004688,0.0,0.004388,0.0,-0.009417,1e-06,3.4,0.169621,LOW
lonchera termica,Luggage & Bags,MX,7.802198,0.123236,981729.0,0.050803,100.928889,Estable,0.022721,0.0,0.004393,18.893454,0.049064,0.0,1847.222222,0.222703,LOW
soporte esponja fregadero,Home & Garden,MX,1.098901,0.022297,1.0,0.0,21.428,Muerto,0.00401,0.0,0.004388,3.10559,0.002134,2.8e-05,0.0,0.17285,LOW
cepillo limpieza cocina,Home & Garden,MX,1.098901,0.044593,272888.0,0.01903,17.913,Estable,0.001868,0.0,0.004388,5.112279,0.004268,2.8e-05,115.4,0.174828,LOW
tapete secado platos,Computer & Office,MX,1.098901,-0.041408,253.0,0.01581,51.961,Muerto,0.000597,0.0,0.004388,0.0,-0.003963,2.8e-05,0.8,0.171336,LOW
cepillo wc silicona,Home & Garden,MX,1.098901,-0.047778,,0.0,37.6,Muerto,0.002857,0.0,0.004388,0.0,-0.004572,2.8e-05,0.0,0.172204,LOW
mopa giratoria,Home & Garden,MX,2.186813,-0.023666,37557.0,0.007269,23.15,Muerto,0.004232,0.0,0.004388,0.056856,-0.003303,0.0,10.111111,0.169715,LOW
organizador asiento coche,"Automobiles, Parts & Accessories",MX,1.098901,-0.057334,3649.0,0.01288,46.271667,Muerto,0.004758,0.01,0.004388,0.0,-0.005487,2.8e-05,3.357143,0.17302,LOW
inflador neumaticos portatil,"Automobiles, Parts & Accessories",MX,2.10989,0.029431,21267.0,0.026144,154.642222,Muerto,0.004652,0.01,0.004388,4.75872,0.004095,1e-06,24.173913,0.170459,LOW
medidor presion llantas,Tools,MX,3.89011,0.203759,310105.0,0.017143,18.627,Estable,0.002966,0.015,0.004388,22.22838,0.040952,0.0,483.272727,0.181762,LOW
sensor estacionamiento coche,Electronic Components & Supplies,MX,1.098901,0.070075,941030.0,0.011859,20.3425,Estable,0.001124,0.005,0.004388,7.405638,0.006706,2.8e-05,1395.0,0.205382,LOW
soporte monitor portatil,Home & Garden,MX,3.225806,0.403226,5271.0,0.031303,50.965,Muerto,0.017864,0.005,0.004388,39.516129,0.068602,0.0,27.5,0.177519,LOW
luz trasera bicicleta,Sports & Entertainment,MX,1.714286,0.086574,9065.0,0.02791,21.099,Muerto,0.002989,0.0,0.004388,9.505972,0.011454,6e-06,14.882353,0.170459,LOW
reloj minimalista acero,Watches,MX,2.098901,-0.020768,,0.0,42.57,Muerto,0.002577,0.0,0.004388,0.229814,-0.002888,1e-06,0.0,0.168861,LOW
